hint_1|The Comanche were regarded as the best horsemen in the West: their fast, hit-and-fade approach to warfare earned them the nickname "The Cossacks of the Plains".
hint_2|The wild horses of the American West were not native to the region. They came from Europe with Spanish conquistadors in the 1500's.
hint_3|The buffalo is the largest land animal in North America.  A full grown buffalo can weigh up to 2,400 lbs (1,110 kg) and reach a height of up to 6.5 ft (2 m).
hint_4|Maize (more commonly known as corn) was first domesticated in Mesoamerica. Maize later spread to the rest of the world after European contact with the Americas.
hint_5|Doc Holliday's last words were "This is funny."  He died in bed in a hospital in Colorado, and he found it humorous that he would die with his boots off.
hint_6|Colonel Chivington led the attack of USA troops against the Black Kettle and the Cheyennes at Sand Creek in 1864.
hint_7|Morgan Earp was assassinated in March 1882 while playing pool with his brother Wyatt. Some witnesses claimed they saw a gang member Frank Stilwell running from the scene of the crime. 
hint_8|Indian tribes would sometimes stampede Buffalo over cliffs or into canyon walls to kill a lot of them quickly.
hint_9|Buffalo stampedes were much more dangerous that cattle stampedes: Buffalo were more than twice as large and formed massive herds that easily outnumbered any group of cattle.  Additionally, the buffalo's eyes are located on the sides of their heads, which makes it more difficult to see straight ahead.
hint_10|The Volcanic line of lever-action weapons were noted for their high capacity magazines, but their lack of stopping power made them unpopular on the frontier.
hint_11|Many soldiers preferred the Remington revolver over the Colt because of its closed-top frame, resulting in better accuracy. The Remington could also be reloaded much faster.
hint_12|The 1866 Winchester was an evolution of the Henry repeating rifle, adding a wooden forearm, an auto-cocking hammer, and a side loading gate.
hint_13|Buffalo were used for more than just food and clothing: cooking oil, buckets, drums, rope, arrow heads, weapons, cups, spoons, and toys could all be made from various parts of their bodies.  
hint_14|On the vast prairie where firewood was often scarce, cow chips were regularly used for fires. Camp cooks relied on them, as when they were dry, they made a hot fire. The burning chips gave off an unsavory smell, but it did not affect the food.
hint_15|The Starr double-action revolver was one of the first of its kind. Most soldiers converted theirs to single-action because the long trigger pull reduced accuracy.
hint_16|Many soldiers preferred the Remington revolver over the Colt because of its closed-top frame, which resulted in better accuracy. The Remington could also be reloaded much faster.
hint_17|The 1866 Winchester was an evolution of the Henry repeating rifle, adding a wooden forearm and a side loading gate.
hint_18|The Second Mexican Empire was established by Napoleon III of France after a French military intervention to collect overdue loans. It lasted from 1864 to 1867 but was plagued by instability.
hint_19|With U.S. Army outposts few and far between, many westward-moving settlers and merchants fortified their ranches and trading posts to defend against Indian and bandit attacks.
hint_20|The Mexican Army was known on the frontier for its hard-riding cavalry, spearheaded by elite (if antiquated) lancer troops.
hint_21|With its fast reload time, light weight, and high accuracy, the Sharps carbine was a popular choice for mounted soldiers during and after the American Civil War.
hint_22|A revolver is a repeating firearm that consists of multiple chambers and at least one barrel for firing.
hint_23|A carbine is a shortened firearm typically used by cavalry, for whom a regular sized firearm would be too bulky to carry.
hint_24|When volunteer cavalry regiments disbanded after the Civil War, the number of regular regiments increased from six to ten, although the regiments were more often dispersed on garrison duty then they were in one place.
hint_25|Cavalry is often suited to irregular operations, operating in and around enemy lines harassing communications.
hint_26|A mesa is a flat-topped, elevated area of land with sides that are usually steep cliffs. After tectonic activity pushes them up, the material most susceptible to weathering and erosion is worn away, giving them their characteristic shape.
hint_27|Fort Dodge, Kansas, was founded in 1864 on the Santa Fe Trail, near the present site of Dodge City. Until the herds in the area were depleted, Dodge City was the bison capital of the United States.
hint_28|The Liberals under former President Benito Juarez opposed the French intervention and Maximilian I. They ran their government-in-exile from the city of Chihuahua in the north until Maximilian I was overthrown in 1867.
hint_29|French backed conservatives supported Emperor Maximilian I, who ruled Mexico from Mexico City from April 10, 1864 to May 15, 1867.
hint_30|The Pinkerton Detective Agency often hired out its agents, the infamous "Pinkerton men", to track down outlaws and bandits in the West
hint_31|The popular image of the Western "quick draw" gunslinger was rarely successful in the old west. Accuracy was just as important as speed.
hint_32|Wells Fargo and Company employed special agents who hunted down criminals that harassed the stage line.
hint_33|The introduction of metal cartridges brought about a new era of firearms, allowing for both faster and safer reloading.
hint_34|Samuel Colt patented the first American revolver in 1836: the Colt-Paterson.
hint_35|The Smith & Wesson revolvers featured poor stopping power, but they made up for it with their fast reloading, high accuracy, and high capacity.
hint_36|The 1842 Aston-Johnson percussion pistol was the official handgun of the US cavalry until the production of the Colt Walker.
hint_37|R.J. Gatling designed the first automatic weapon, believing it would reduce the number of men required on a battlefield and ultimately save lives.
hint_38|During the 19th century, the peoples of the American West killed upwards 60 million buffalo.
hint_39|The first gold strike in the old west was made by Jose Ortiz in 1832 south of Santa Fe, New Mexico, in what would quickly become the boom town of Delores.
hint_40|Billy the Kid was born in New York City on September 17, 1859.
hint_41|Established in 1827, Fort Leavenworth, Kansas is the oldest military post in continuous operation west of the Mississippi.
hint_42|The term "red light district" came from the Red Light Bordello in Dodge City, Kansas. The front door of the building was made of red glass and produced a red glow to the outside world when lit at night. The name carried over to refer to the town's brothel district.
hint_43|Estimates of how many people lived in North America before the arrival of the European explorers vary from 8.4 million to 112 million. This population was divided into about 240 tribal groupings speaking an estimated 300 different languages.
hint_44|Buffalo bones, which were strewn across the Great Plains after the mass buffalo hunts between 1870 until 1883, were bought by Eastern firms for the production of fertilizer and bone china. "Bone pickers" earned eight dollars a ton for the bones.
hint_45|Around 1541, the present state of Texas was called Tejas, a Spanish version of the Caddo word meaning "allies".
hint_46|Wyatt Earp was indicted for horse theft in Van Buren,   Arkansas on May 8, 1871. He escaped trial by jumping bail and fleeing to Kansas.
hint_47|Rumor has it that the tradition of spreading saw dust on the floors of bars and saloons started in  Deadwood, South Dakota due to the amount of gold dust that would fall on the floor. The saw dust was used to hide the fallen gold dust and was swept up at the end of the night.
hint_48|Harry Longabaugh became known as "The Sundance Kid" because he served a jail term for horse stealing in Sundance, Wyoming.
hint_49|Texas was the most active gun fighting state, with some 160 shoot-outs from the 1850's through the 1890's.
hint_50|On December 21, 1876, Clay Allison shot and killed Deputy Sheriff Charles Faber at the Olympic Dance Hall in Las Animas, Colorado. If it weren't for Allison purposely stomping on the feet of other dancers, the law probably would never have been called.
hint_51|The Colt Peacemaker, the weapon that became known as "the gun that won the West" was a .45 caliber manufactured by Colt's Fire Arms Manufacturing Company in Hartford, Connecticut in 1873. At the time it sold for $17.00.
hint_52|The Infamous Dalton Gang only operated for one year and five months, beginning with a train robbery in Wharton, Oklahoma on May 9, 1891 and ending at the shootout at Coffeyville, Kansas on October 5, 1892.
hint_53|Although the term "stick 'em up" is widely used in Western films, it wasn't actually coined until the 1930's.
hint_54|Jesse James was shot in the back by Bob Ford on April 3, 1882, in St. Joseph, Missouri. Professed to be a friend of James, Ford was reviled for shooting James from behind and was forever known as a coward.  Ten years later, he himself was himself shot to death in Creede, Colorado.
hint_55|The main characters of the Dalton Gang (brothers Grat, Bob and Emmett) all wore badges before moving to the other side of the law.
hint_56|Most professional gunfighters died in states or territories where the most shootings occurred: Texas, Kansas, New Mexico, Oklahoma, California, Missouri, and Colorado.
hint_57|On November 24, 1835, the Republic of Texas established a force of frontiersmen called the "Texas Rangers". The rangers were paid $1.25 per day for their services and were said to be able to "ride like a Mexican, shoot like a Kentuckian, and fight like the devil".
